127.65,46.14,8,16
127.42,46.2,8,16
127.71,46.42,8,16
127.88,46.07,8,16
127.49,46.48,8,16
127.12,46.27,8,16
128.01,46.3,8,16
127.79,46.74,8,16
127.57,46.79,8,16
127.19,46.55,8,16
126.74,46.37,7,16
128.09,46.66,8,16
128.38,46.18,8,16
127.87,47.05,8,16
127.65,47.11,8,16
127.27,46.87,8,16
126.81,46.65,7,16
126.35,46.46,7,16
128.48,46.57,8,16
128.17,46.98,8,16
128.77,46.12,8,16
127.95,47.37,8,16
127.73,47.42,8,16
127.35,47.18,7,16
126.88,46.96,7,16
126.42,46.74,7,16
125.97,46.56,7,16
128.56,46.89,8,16
128.86,46.48,8,16
128.25,47.3,8,16
129.17,46.06,8,16
128.03,47.71,8,16
127.81,47.77,8,16
127.42,47.5,7,16
126.96,47.28,7,16
126.5,47.06,7,16
126.04,46.84,7,16
125.59,46.65,7,16
128.94,46.79,8,16
128.63,47.2,8,16
129.24,46.38,8,16
128.33,47.64,8,16
129.56,46,8,16
128.12,48.08,8,16
127.9,48.13,8,16
127.51,47.84,7,16
127.04,47.59,7,16
126.58,47.37,7,16
126.12,47.15,7,16
125.65,46.93,7,16
125.2,46.75,7,16
129.02,47.11,8,16
129.32,46.7,8,16
128.72,47.54,8,16
129.63,46.29,8,16
128.42,48,8,16
129.88,45.93,8,16
128.21,48.45,8,16
127.99,48.5,8,16
127.6,48.21,7,16
127.12,47.94,7,16
126.66,47.69,7,16
126.19,47.47,7,16
125.73,47.25,7,16
125.27,47.03,7,16
124.82,46.84,7,16
129.4,47.01,8,16
129.1,47.45,8,16
129.71,46.6,8,16
128.81,47.91,8,16
130,46.15,8,16
128.51,48.37,8,16
128.3,48.81,8,16
128.08,48.87,7,16
127.69,48.57,7,16
127.21,48.3,7,16
126.74,48.03,7,16
126.27,47.78,7,16
125.81,47.56,7,16
125.35,47.34,7,16
124.89,47.12,7,16
124.43,46.94,7,16
129.48,47.35,8,16
129.78,46.92,8,16
129.19,47.81,8,16
130.09,46.51,8,16
128.9,48.28,8,16
130.38,46.04,8,16
128.61,48.74,8,16
128.39,49.18,8,16
128.17,49.23,7,16
127.78,48.94,7,16
127.31,48.67,7,16
126.83,48.4,7,16
126.36,48.12,7,16
125.89,47.88,7,16
125.43,47.66,7,16
124.96,47.44,7,16
124.5,47.22,7,16
124.05,47.03,7,16
129.87,47.26,8,16
129.58,47.72,8,16
130.17,46.82,8,16
129.28,48.18,8,16
130.47,46.41,8,16
128.99,48.64,8,16
130.77,45.98,8,16
128.7,49.1,8,16
128.48,49.55,8,16
