0.23;0.05;0;0
0.55;0.05;0;0
0.25;0.25;0;0
0.05;0.22;0;0
0.55;0.25;0;0
0.85;0.05;0;0
0.25;0.54;0;0
0.05;0.54;0;0
0.85;0.24;0;0
0.55;0.54;0;0
1.15;0.05;0;0
0.25;0.82;0;0
0.05;0.82;0;0
0.85;0.54;0;0
1.15;0.24;0;0
0.55;0.82;0;0
1.45;0.05;0;0
0.25;1.11;0;0
0.05;1.11;0;0
1.15;0.54;0;0
0.85;0.82;0;0
1.45;0.24;0;0
0.55;1.11;0;0
1.75;0.05;0;0
0.25;1.41;0;0
0.05;1.41;0;0
1.15;0.82;0;0
1.45;0.54;0;0
0.85;1.11;0;0
1.75;0.24;0;0
0.55;1.41;0;0
2.05;0.05;0;0
0.25;1.7;0;0
0.05;1.7;0;0
1.45;0.83;0;0
1.15;1.11;0;0
1.75;0.54;0;0
0.85;1.41;0;0
2.05;0.24;0;0
0.55;1.7;0;0
2.35;0.05;0;0
0.25;1.99;0;0
0.05;1.99;0;0
1.45;1.11;0;0
1.75;0.83;0;0
1.15;1.41;0;0
2.05;0.54;0;0
0.85;1.7;0;0
2.35;0.24;0;0
0.55;1.99;0;0
2.65;0.05;0;0
0.25;2.27;0;0
0.05;2.27;0;0
1.75;1.11;0;0
1.45;1.41;0;0
2.05;0.83;0;0
1.15;1.7;0;0
2.35;0.54;0;0
0.85;1.99;0;0
2.65;0.24;0;0
0.55;2.27;0;0
2.95;0.05;0;0
0.25;2.56;0;0
0.05;2.56;0;0
1.75;1.41;0;0
2.05;1.11;0;0
1.45;1.7;0;0
2.35;0.83;0;0
1.15;1.99;0;0
2.65;0.54;0;0
0.85;2.27;0;0
2.95;0.24;0;0
0.55;2.56;0;0
3.25;0.05;0;0
0.25;2.85;0;0
0.05;2.85;0;0
2.05;1.41;0;0
1.75;1.7;0;0
2.35;1.11;0;0
1.45;1.99;0;0
2.65;0.83;0;0
1.15;2.27;0;0
2.95;0.54;0;0
0.85;2.56;0;0
3.25;0.24;0;0
0.55;2.85;0;0
3.55;0.05;0;0
0.25;3.14;0;0
0.05;3.14;0;0
2.05;1.7;0;0
2.35;1.41;0;0
1.75;1.99;0;0
2.65;1.11;0;0
1.45;2.27;0;0
2.95;0.83;0;0
1.15;2.56;0;0
3.25;0.54;0;0
0.85;2.85;0;0
3.55;0.24;0;0
0.55;3.14;0;0
3.85;0.05;0;0
0.25;3.43;0;0
0.05;3.43;0;0
2.35;1.7;0;0
2.05;1.99;0;0
2.65;1.41;0;0
1.75;2.27;0;0
2.95;1.11;0;0
1.45;2.56;0;0
3.25;0.83;0;0
1.15;2.85;0;0
3.55;0.54;0;0
0.85;3.14;0;0
3.85;0.24;0;0
0.55;3.43;0;0
4.15;0.05;0;0
0.25;3.71;0;0
0.05;3.71;0;0
2.35;1.99;0;0
2.65;1.7;0;0
2.05;2.27;0;0
2.95;1.41;0;0
1.75;2.56;0;0
3.25;1.11;0;0
1.45;2.85;0;0
3.55;0.83;0;0
1.15;3.14;0;0
3.85;0.54;0;0
0.85;3.43;0;0
4.15;0.24;0;0
0.55;3.71;0;0
4.45;0.05;0;0
0.25;4;0;0
0.05;4;0;0
2.65;1.98;0;0
2.35;2.27;0;0
2.95;1.7;0;0
2.05;2.56;0;0
3.25;1.41;0;0
1.75;2.85;0;0
3.55;1.11;0;0
1.45;3.14;0;0
3.85;0.83;0;0
1.15;3.43;0;0
4.15;0.54;0;0
0.85;3.71;0;0
4.45;0.24;0;0
0.55;4;0;0
4.75;0.05;0;0
0.25;4.29;0;0
0.05;4.29;0;0
2.65;2.27;0;0
2.95;1.98;0;0
2.35;2.56;0;0
3.25;1.7;0;0
2.05;2.85;0;0.001
3.55;1.41;0;0
1.75;3.14;0;0.001
3.85;1.11;0;0
1.45;3.43;0;0.001
4.15;0.83;0;0
1.15;3.71;0;0
4.45;0.54;0;0
0.85;4;0;0
4.75;0.25;0;0
0.55;4.29;0;0
5.05;0.05;0;0
0.25;4.57;0;0
0.05;4.57;0;0
2.95;2.27;0;0
2.65;2.56;0;0
3.25;1.98;0;0
2.35;2.85;0;0.001
3.55;1.7;0;0
2.05;3.14;0;0.001
3.85;1.41;0;0
1.75;3.43;0;0.001
4.15;1.11;0;0
1.45;3.71;0;0.001
4.45;0.83;0;0
1.15;4;0;0.001
4.75;0.54;0;0
0.85;4.29;0;0
5.05;0.25;0;0
0.55;4.57;0;0
5.34;0.05;0;0
0.25;4.86;0;0
0.05;4.86;0;0
2.95;2.56;0;0
3.25;2.27;0;0
2.65;2.85;0;0.001
3.55;1.98;0;0
2.35;3.14;0;0.001
3.85;1.7;0;0
2.05;3.43;0;0.001
4.15;1.41;0;0
1.75;3.71;0;0.001
4.45;1.11;0;0
1.45;4;0;0.001
4.75;0.83;0;0
1.15;4.29;0;0.001
5.05;0.54;0;0
0.85;4.57;0;0.001
5.34;0.24;0;0
0.55;4.86;0;0.001
5.64;0.05;0;0
0.23;5.14;0;0.001
0.03;5.1;0;0.001
3.25;2.56;0;0
2.95;2.85;0;0
3.55;2.27;0;0
2.65;3.14;0;0.001
3.85;1.98;0;0
2.35;3.43;0;0.001
4.15;1.7;0;0
2.05;3.71;0;0.001
4.45;1.41;0;0
1.75;4;0;0.001
4.75;1.11;0;0
1.45;4.29;0;0.001
5.05;0.83;0;0
1.15;4.57;0;0.001
5.34;0.54;0;0
0.85;4.86;0;0.001
5.64;0.24;0;0
0.55;5.14;0;0.001
5.93;0.05;0;0
0.2;5.43;0.001;0.001
3.25;2.85;0;0
